"","ID","Period","Degree","Strength","Prop_BG","Prop_FG","Prop_SD","Prop_NF","HI","During","After","Group_size"
"89","FB66","1-Before_HAB",71,1.07124361992409,0,0,0,0.307053941908714,"NF",0,0,2.82157676348548
"90","FB78","1-Before_HAB",51,0.744939662457502,0,0,0,0.235714285714286,"NF",0,0,2.48571428571429
"91","FB79","1-Before_HAB",70,1.30550071322207,0,0,0,0.360515021459227,"NF",0,0,3.16309012875536
"92","FB87","1-Before_HAB",66,1.50827859974083,0,0,0,0.338028169014085,"NF",0,0,3.76056338028169
"93","FB90","1-Before_HAB",73,2.56329467034005,0,0,0,0.208571428571429,"NF",0,0,4.53428571428571
"96","HAIR","1-Before_HAB",46,0.978392500725785,0,0,0,0.185185185185185,"NF",0,0,4.22222222222222
"97","HBMB","1-Before_HAB",19,0.639011029104477,0,0,0,0.333333333333333,"NF",0,0,3.26666666666667
"98","HIQQ","1-Before_HAB",10,0.943774208532948,0,0,0,0.4375,"NF",0,0,2.9375
"99","IKN2","1-Before_HAB",43,0.85284033087908,0,0,0,0.388059701492537,"NF",0,0,3.02985074626866
"100","JOSC","1-Before_HAB",32,0.589235801541758,0,0,0,0.315789473684211,"NF",0,0,2.64912280701754
"101","LDMA","1-Before_HAB",12,0.400735245194252,0,0,0,0.294117647058824,"NF",0,0,2.29411764705882
"102","LIZD","1-Before_HAB",23,0.416753404706607,0,0,0,0.257142857142857,"NF",0,0,2.28571428571429
"103","LNPC","1-Before_HAB",7,1.10193950786056,0,0,0,0.333333333333333,"NF",0,0,2.75
"104","LNPF","1-Before_HAB",10,1.09852617365965,0,0,0,0.285714285714286,"NF",0,0,2.78571428571429
"105","M145","1-Before_HAB",16,0.69636559784002,0,0,0,0.296296296296296,"NF",0,0,2.59259259259259
"106","MPTB","1-Before_HAB",27,0.689319684166002,0,0,0,0.368421052631579,"NF",0,0,3.73684210526316
"107","PNBT","1-Before_HAB",18,1.69801265285217,0,0,0,0.285714285714286,"NF",0,0,4.14285714285714
"108","PSDQ","1-Before_HAB",21,0.971117940389459,0,0,0,0.222222222222222,"NF",0,0,3.14814814814815
"109","RTMW","1-Before_HAB",27,0.857034685126255,0,0,0,0.5,"NF",0,0,2.93333333333333
"110","RY34","1-Before_HAB",39,0.931942716698818,0,0,0,0.514285714285714,"NF",0,0,3.74285714285714
"111","SOLB","1-Before_HAB",41,0.993813674379026,0,0,0,0.507462686567164,"NF",0,0,2.98507462686567
